Quantity,Profit,Shipping_Cost,Discount,Order_Priority,mmonthN,Sales,Markets,Category_Office_Supplies,Category_Technology,Sub-Category_Appliances,Sub-Category_Art,Sub-Category_Binders,Sub-Category_Bookcases,Sub-Category_Chairs,Sub-Category_Copiers,Sub-Category_Envelopes,Sub-Category_Fasteners,Sub-Category_Furnishings,Sub-Category_Labels,Sub-Category_Machines,Sub-Category_Paper,Sub-Category_Phones,Sub-Category_Storage,Sub-Category_Supplies,Sub-Category_Tables,Segment_Corporate,Segment_Home_Office
2,-5.063139179478735,1.90061388269327,0.699999988079071,3,10,4.426928339062035,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,-4.499720741544404,1.5830939135953364,0.699999988079071,3,10,4.374599082719602,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,-5.452205168285141,4.112184510328406,0.699999988079071,1,10,5.419419337766787,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1.7390616648133337,0.09531018115897587,0.699999988079071,1,10,1.657847079263452,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,-3.416808233182286,0.8796267336525216,0.699999988079071,1,12,2.871755052279566,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,-2.262179687891778,1.0116009116784799,0.699999988079071,1,12,2.075182494815772,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,-4.331522470401688,2.2016591701842874,0.699999988079071,0,11,3.7723010517248654,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,-1.7869144501472631,0.22314355131420976,0.699999988079071,3,12,1.425274641499259,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1.5873967881867288,0.22314355131420976,0.699999988079071,3,12,1.4881738025472635,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-4.425852109832559,1.6253112465718973,0.699999988079071,3,12,4.359985461680122,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-4.785548174367783,1.921324662412282,0.699999988079071,3,12,4.100542003327472,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,-4.1483749609471445,1.1755733327476772,0.699999988079071,3,12,3.7725079960634984,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,-5.059831695494634,2.0451088650667932,0.699999988079071,3,12,4.572605646523065,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,-2.5316312184785676,0.39877612635786647,0.699999988079071,3,3,2.0049873716794258,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,4.138520909955546,3.4784670124454062,0.0,3,1,5.735410379644474,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1.0296194001512595,1.226712316465715,0.0,3,8,3.303951971997548,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,5.401234867515122,3.5923685453306757,0.0,3,8,6.3665391361409664,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,3.0689827565651293,1.3962446825307386,0.0,3,12,4.0900018408841605,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4.674136384756048,3.5962157441400575,0.0,3,1,6.014448353674191,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2.4882344367123217,3.0516398874558934,0.0,3,8,5.6274771877045735,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.1004689182102156,1.3428647832724643,0.0,3,3,3.6101068059672885,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,3.4154289739376598,2.352327206666389,0.0,3,3,4.738651566680886,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2.4731713646216233,1.66581823865906,0.0,1,11,3.24726887267247,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.6253112465718973,1.5686159079797377,0.0,0,6,2.5152741771529077,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1.6370530534915084,0.7178397698899673,0.0,3,11,2.4782176680377024,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0.0,2.474014198980387,0.0,2,12,4.65319813754676,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,4.035302045868568,5.097852194330313,0.0,2,12,7.014418997836053,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.472897681624316,3.226844024792752,0.0,2,12,5.566396004509918,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2.7948393101891025,1.4996230506843684,0.0,3,11,4.023564407457634,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
