Geo_id,City,State,Region,Country,Lat,Lon
1,New York City,New York,East,United States,40.7127281,-74.0060152
2,Wollongong,New South Wales,Oceania,Australia,-34.4243941,150.89385
3,Brisbane,Queensland,Oceania,Australia,-27.4689623,153.0235009
4,Berlin,Berlin,Central,Germany,52.5173885,13.3951309
5,Dakar,Dakar,Africa,Senegal,14.693425,-17.447938
6,Sydney,New South Wales,Oceania,Australia,-33.8698439,151.2082848
7,Porirua,Wellington,Oceania,New Zealand,-41.1354217,174.8397824
8,Hamilton,Waikato,Oceania,New Zealand,-37.7878809,175.281788
9,Sacramento,California,West,United States,38.5810606,-121.493895
10,Concord,North Carolina,South,United States,43.207178,-71.537476
11,Alexandria,Virginia,South,United States,38.8051095,-77.0470229
12,Kabul,Kabul,Central Asia,Afghanistan,34.5269503,69.1850584
13,Jizan,Jizan,EMEA,Saudi Arabia,17.333333,42.666667
14,Toledo,Parana,South,Brazil,-22.7433969,-46.3735044
15,Mudanjiang,Heilongjiang,North Asia,China,44.635006,130.013384
16,Henderson,Kentucky,South,United States,32.182598,-95.7893178
17,Townsville,Queensland,Oceania,Australia,-19.2569391,146.8239537
18,Uvinza,Kigoma,Africa,Tanzania,-5.1027081,30.3878909
19,Bytom,Silesia,EMEA,Poland,50.3470387,18.9231857
20,Chicago,Illinois,Central,United States,41.8755616,-87.6244212
21,Suzhou,Anhui,North Asia,China,31.311123,120.6212881
22,Edinburgh,Scotland,North,United Kingdom,55.9533456,-3.1883749
23,Juárez,Chihuahua,North,Mexico,31.7372575,-106.485655
24,Soyapango,San Salvador,Central,El Salvador,13.7036577,-89.1501583
25,Taipei,Taipei City,North Asia,Taiwan,25.0375198,121.5636796
26,Leipzig,Saxony,Central,Germany,51.3406321,12.3747329
27,Los Angeles,California,West,United States,34.0536909,-118.242766
28,Surat,Gujarat,Central Asia,India,21.2094892,72.8317058
29,Santo Domingo,Santo Domingo,Caribbean,Dominican Republic,18.4713858,-69.8918436
30,Amarillo,Texas,Central,United States,35.20729,-101.8371192
31,Gold Coast,Queensland,Oceania,Australia,-28.0023731,153.4145987
32,Fresno,California,West,United States,36.7394421,-119.78483
33,Kamina,Katanga,Africa,Democratic Republic of the Congo,-8.7351826,25.0032201
34,Burlington,North Carolina,South,United States,44.4761601,-73.212906
35,Stockton-on-Tees,England,North,United Kingdom,54.564094,-1.3129164
36,Mataram,Nusa Tenggara Barat,Southeast Asia,Indonesia,-8.5837726,116.10685
37,Gorakhpur,Haryana,Central Asia,India,26.6677977,83.3642334
38,Thiruvananthapuram,Kerala,Central Asia,India,8.4882267,76.947551
39,Huddersfield,England,North,United Kingdom,53.6466645,-1.7822482
40,Minneapolis,Minnesota,Central,United States,44.9772995,-93.2654692
41,Shouguang,Shandong,North Asia,China,36.8762356,118.7322549
42,Jamshedpur,Jharkhand,Central Asia,India,22.8015194,86.2029579
43,Paysandú,Paysandú,South,Uruguay,-32.3217257,-58.0892136
44,Behshahr,Mazandaran,EMEA,Iran,36.6912955,53.5432769
45,Huntington Beach,California,West,United States,33.6783336,-118.000016
46,Maputo,Cidade De Maputo,Africa,Mozambique,-25.966213,32.56745
47,Bhopal,Madhya Pradesh,Central Asia,India,23.2584857,77.401989
48,Seattle,Washington,West,United States,47.6038321,-122.330062
49,Delhi,Delhi,Central Asia,India,28.6328027,77.2197713
50,Geraldton,Western Australia,Oceania,Australia,-28.77035,114.6147159
51,Tallahassee,Florida,South,United States,30.4380832,-84.2809332
52,Dhaka,Dhaka,Central Asia,Bangladesh,23.7643863,90.3890144
53,Celle,Lower Saxony,Central,Germany,52.624056,10.081052
54,Wuxi,Jiangsu,North Asia,China,31.5776626,120.2952752
55,Richmond,Virginia,South,United States,37.5385087,-77.43428
56,Seville,Andalusía,South,Spain,37.3886303,-5.9953403
57,Raipur,Uttarakhand,Central Asia,India,21.2380912,81.6336993
58,Gómez Palacio,Durango,North,Mexico,25.5732473,-103.494779
59,Kharkiv,Kharkiv,EMEA,Ukraine,49.9923181,36.2310146
60,Jinan,Shandong,North Asia,China,36.6519754,117.1138479
61,Chinandega,Chinandega,Central,Nicaragua,12.7777962,-87.269584
62,Kananga,Kasai-Occidental,Africa,Democratic Republic of the Congo,-5.8951725,22.408589
63,Palembang,Sumatera Selatan,Southeast Asia,Indonesia,-2.9888243,104.7568507
64,London,England,North,United Kingdom,51.4893335,-0.1440551
65,Melbourne,Victoria,Oceania,Australia,-37.8142454,144.9631732
66,Atlanta,Georgia,South,United States,33.7544657,-84.3898151
67,Nanchong,Sichuan,North Asia,China,31.210219,106.231735
68,Naihati,West Bengal,Central Asia,India,22.8866078,88.424196
69,Lille,Nord-Pas-de-Calais,Central,France,50.6365654,3.0635282
70,Meknes,Meknès-Tafilalet,Africa,Morocco,33.8984131,-5.5321582
71,Jackson,Michigan,Central,United States,32.2998686,-90.1830408
72,Philadelphia,Pennsylvania,East,United States,39.9527237,-75.1635262
73,Krefeld,North Rhine-Westphalia,Central,Germany,51.3331205,6.5623343
74,Bandung,Jawa Barat,Southeast Asia,Indonesia,-6.9218457,107.6070833
75,Casablanca,Grand Casablanca,Africa,Morocco,33.5945144,-7.6200284
76,Tongi,Dhaka,Central Asia,Bangladesh,23.9084932,90.3980037
77,Henderson,Nevada,West,United States,32.182598,-95.7893178
78,Paris,Ile-de-France,Central,France,48.8534951,2.3483915
79,Montréal,Quebec,Canada,Canada,45.5031824,-73.5698065
80,Manila,National Capital,Southeast Asia,Philippines,14.5904492,120.9803621
81,Newcastle,New South Wales,Oceania,Australia,-32.9192953,151.7795348
82,Graz,Styria,Central,Austria,47.0708678,15.4382786
83,Nowra,New South Wales,Oceania,Australia,-34.8741198,150.6004709
84,Boulogne-Billancourt,Ile-de-France,Central,France,48.8356649,2.240206
85,Malakoff,Ile-de-France,Central,France,48.8211559,2.3019814
86,Kinshasa,Kinshasa,Africa,Democratic Republic of the Congo,-4.32171,15.3122511
87,Perth,Western Australia,Oceania,Australia,-31.9558967,115.8605784
88,Le Bouscat,Aquitaine,Central,France,44.8661755,-0.5992399
89,Puebla,Puebla,North,Mexico,18.833333,-98.0
90,Augsburg,Bavaria,Central,Germany,48.3690341,10.8979522
91,Nice,Provence-Alpes-Côte d'Azur,Central,France,43.7009358,7.2683912
92,Medellín,Antioquia,South,Colombia,6.2697325,-75.6025597
93,Bergen op Zoom,North Brabant,Central,Netherlands,51.4944756,4.2871541
94,Lakewood,New Jersey,East,United States,39.7085736,-105.0846694
95,Hanover,Lower Saxony,Central,Germany,52.3744779,9.7385532
96,Vigo,Galicia,South,Spain,42.2376602,-8.7247205
97,Gaoyou,Jiangsu,North Asia,China,32.7861134,119.4294614
98,Bremen,Bremen,Central,Germany,53.0758196,8.8071646
99,Muret,Midi-Pyrénées,Central,France,43.4599858,1.3262332
100,Zigong,Sichuan,North Asia,China,29.2995746,104.6928392
101,Adelaide,South Australia,Oceania,Australia,-34.9281805,138.5999312
102,Detroit,Michigan,Central,United States,42.3315509,-83.0466403
103,Chelles,Ile-de-France,Central,France,49.3549458,3.0344372
104,Kuantan,Pahang,Southeast Asia,Malaysia,3.7985637,103.32199
105,Harrisonburg,Virginia,South,United States,38.4493315,-78.8688833
106,Everett,Massachusetts,East,United States,47.9793437,-122.2127011
107,Quito,Pichincha,South,Ecuador,-0.2201641,-78.5123274
108,Vadodara,Gujarat,Central Asia,India,22.2973142,73.1942567
109,Sanya,Hainan,North Asia,China,18.2534658,109.5034392
110,Bangkok,Bangkok,Southeast Asia,Thailand,13.7524938,100.4935089
111,San Diego,California,West,United States,32.7174202,-117.162772
112,Tasikmalaya,Jawa Barat,Southeast Asia,Indonesia,-7.3262484,108.2201154
113,Guaymas,Sonora,North,Mexico,27.9216441,-110.8994059
114,Wuhan,Hubei,North Asia,China,30.5951051,114.2999353
115,Madison,Wisconsin,Central,United States,43.07469,-89.3841663
116,Salto,São Paulo,South,Brazil,-23.1989983,-47.2913682
117,Treviso,Veneto,South,Italy,45.8066913,12.2063158
118,Hargeysa,Woqooyi Galbeed,Africa,Somalia,9.561733,44.061803
119,Long Beach,California,West,United States,33.7690164,-118.191604
120,Yogyakarta,Yogyakarta,Southeast Asia,Indonesia,-7.9778384,110.3672257
121,Anshan,Liaoning,North Asia,China,40.822222,122.8275
122,Le Petit-Quevilly,Upper Normandy,Central,France,49.4238,1.06208
123,Bochum,North Rhine-Westphalia,Central,Germany,51.4818111,7.2196635
124,Houston,Texas,Central,United States,29.7589382,-95.3676974
125,Mixco,Guatemala,Central,Guatemala,14.6307175,-90.6061595
126,Yonkers,New York,East,United States,40.9312099,-73.8987469
127,Morelia,Michoacán,North,Mexico,19.6546004,-101.2623797
128,Changchun,Jilin,North Asia,China,43.8844201,125.3180998
129,Madrid,Madrid,South,Spain,40.4167047,-3.7035825
130,Jeddah,Makkah,EMEA,Saudi Arabia,21.5504432,39.1742363
131,Norman,Oklahoma,Central,United States,35.2225717,-97.4394816
132,Medan,Sumatera Utara,Southeast Asia,Indonesia,3.5894617,98.6741623
133,Jakarta,Jakarta,Southeast Asia,Indonesia,-6.1754049,106.827168
134,Lancaster,Ohio,East,United States,40.0379958,-76.3056707
135,Surakarta,Jawa Tengah,Southeast Asia,Indonesia,-7.5692489,110.828448
136,Beijing,Beijing,North Asia,China,40.190632,116.412144
137,Tulancingo,Hidalgo,North,Mexico,20.0839585,-98.3635381
138,Brest,Brest,EMEA,Belarus,52.093751,23.6851851
139,Valencia,Valenciana,South,Spain,39.4697065,-0.3763353
140,Charlotte,North Carolina,South,United States,35.2272086,-80.8430827
141,Zhytomyr,Zhytomyr,EMEA,Ukraine,50.9080532,28.3867504
142,Argenteuil,Ile-de-France,Central,France,48.9479069,2.2481797
143,Talence,Aquitaine,Central,France,44.8088438,-0.5879629
144,Aurangabad,Bihar,Central Asia,India,19.877263,75.3390241
145,Plaisir,Ile-de-France,Central,France,48.817399,1.9476363
146,Harrogate,England,North,United Kingdom,53.9921491,-1.5391039
147,Phnom Penh,Phnom Penh,Southeast Asia,Cambodia,11.5730391,104.857807
148,Mackay,Queensland,Oceania,Australia,-21.141956,149.1865149
149,North Las Vegas,Nevada,West,United States,36.2005191,-115.1214745
150,Jambi,Jambi,Southeast Asia,Indonesia,-1.7069965,102.7140041
151,Newark,Delaware,East,United States,40.735657,-74.1723667
152,Hamburg,Hamburg,Central,Germany,53.550341,10.000654
153,Shenzhen,Guangdong,North Asia,China,22.5445741,114.0545429
154,Launceston,Tasmania,Oceania,Australia,-41.4340813,147.1373496
155,Marikina,National Capital,Southeast Asia,Philippines,14.6331084,121.0993541
156,Johannesburg,Gauteng,Africa,South Africa,-26.205,28.049722
157,Barakaldo,Basque Country,South,Spain,43.29548,-2.9900933
158,Providence,Rhode Island,East,United States,41.8239891,-71.4128343
159,Long Beach,New York,East,United States,33.7690164,-118.191604
160,Qingdao,Shandong,North Asia,China,36.0663249,120.3777659
161,San Francisco,California,West,United States,37.7792588,-122.4193286
162,Shiraz,Fars,EMEA,Iran,29.6060218,52.5378041
163,Bokaro,Jharkhand,Central Asia,India,23.6991279,85.9910689
164,Fuji,Shizuoka,North Asia,Japan,35.362799,138.730781
165,Benidorm,Valenciana,South,Spain,38.5406255,-0.1290929
